cheep	A chirp, peep, or squeak, as of a young bird or mouse.
loads	A large quantity; a lot; as, loads of fun.
ligan	Goods sunk in the sea, with a buoy attached in order that they may be found again. See Jetsam and Flotsam.
stime	A slight gleam or glimmer; a glimpse.
sasse	A sluice or lock, as in a river, to make it more navigable.
aryan	One of a primitive people supposed to have lived in prehistoric times, in Central Asia, east of the Caspian Sea, and north of the Hindu Kush and Paropamisan Mountains, and to have been the stock from which sprang the Hindu, Persian, Greek, Latin, Celtic, Teutonic, Slavonic, and other races; one of that ethnological division of mankind called also Indo-European or Indo-Germanic.
brush	To apply a brush to, according to its particular use; to rub, smooth, clean, paint, etc., with a brush.
bunco	see bunko.
nacho	A tortilla chip topped with cheese and often chili-pepper or beans and then broiled; -- eaten as a snack or light meal.
prose	The ordinary language of men in speaking or writing; language not cast in poetical measure or rhythm; -- contradistinguished from verse, or metrical composition.
quair	A quire; a book.
vireo	Any one of numerous species of American singing birds belonging to Vireo and allied genera of the family Vireonidae. In many of the species the back is greenish, or olive-colored.  Called also greenlet.
dicot	same as dicotyledon.
ethal	A white waxy solid, C16H33.OH; -- called also cetyl alcohol and cetylic alcohol. See Cetylic alcohol, under Cetylic.
frail	A basket made of rushes, used chiefly for containing figs and raisins.
patee	See Pattee.
yezdi	Same as Izedi.
advil	a nonsteroidal anti-inflammatory medicine used to relieve the pain of arthritis and as an analgesic and antipyretic; Advil and Motrin and Nuprin are trademarks of brands of ibuprofen tablets.
smoke	To emit smoke; to throw off volatile matter in the form of vapor or exhalation; to reek.
arrha	Money or other valuable thing given to evidence a contract; a pledge or earnest.
glome	One of the two prominences at the posterior extremity of the frog of the horse's foot.
hound	A variety of the domestic dog, usually having large, drooping ears, esp. one which hunts game by scent, as the foxhound, bloodhound, deerhound, but also used for various breeds of fleet hunting dogs, as the greyhound, boarhound, etc.
cense	A census; -- also, a public rate or tax.
fadme	A fathom.
stela	A small column or pillar, used as a monument, milestone, etc.
tutty	A yellow or brown amorphous substance obtained as a sublimation product in the flues of smelting furnaces of zinc, and consisting of a crude zinc oxide.
bliny	same as blini.
caeca	See C<ae/cum.
delts	The deltoid muscles; -- a contraction used by body-building and health enthusiasts.   Used similarly to abs and pecs.  See deltoid muscle.
rondo	A composition, vocal or instrumental, commonly of a lively, cheerful character, in which the first strain recurs after each of the other strains.
scold	One who scolds, or makes a practice of scolding; esp., a rude, clamorous woman; a shrew.
tousy	Tousled; tangled; rough; shaggy.
blend	A thorough mixture of one thing with another, as color, tint, etc., into another, so that it cannot be known where one ends or the other begins.
floor	The bottom or lower part of any room; the part upon which we stand and upon which the movables in the room are supported.
navel	A mark or depression in the middle of the abdomen; the umbilicus; called also belly button in humans.  See Umbilicus.
nappe	Sheet; surface; all that portion of a surface that is continuous in such a way that it is possible to pass from any one point of the portion to any other point of the portion without leaving the surface.  Thus, some hyperboloids have one nappe, and some have two.
pisay	See Pis<eacute/.
relay	A number of men who relieve others in carrying on some work.
trump	A winning card; one of a particular suit (usually determined by chance for each deal) any card of which takes any card of the other suits.
tapet	Worked or figured stuff; tapestry.
crepe	Same as Crape.
derby	A race for three-old horses, run annually at Epsom (near London), for the Derby stakes. It was instituted by the 12th Earl of Derby, in 1780.
pleyt	An old term for a river boat.
whisp	A flock of snipe.
clerk	A clergyman or ecclesiastic.
flang	A miner's two-pointed pick.
moong	Same as Mung.
flora	The goddess of flowers and spring.
hoult	A piece of woodland; a small wood. [Obs.] See Holt.
pagan	Of or pertaining to pagans; relating to the worship or the worshipers of false goods; heathen; idolatrous, as, pagan tribes or superstitions.
agent	One who exerts power, or has the power to act; an actor.
bunko	A kind of swindling game or scheme, originally by means of cards or by a sham lottery, but now used for any swindling tactic.
event	That which comes, arrives, or happens; that which falls out; any incident, good or bad.
mucro	A minute abrupt point, as of a leaf; any small, sharp point or process, terminating a larger part or organ.
virge	A wand.  See Verge.
malum	An evil. See Mala.
moner	One of the Monera.
skeed	See Skid.
still	A vessel, boiler, or copper used in the distillation of liquids; specifically, one used for the distillation of alcoholic liquors; a retort. The name is sometimes applied to the whole apparatus used in in vaporization and condensation.
clack	A sharp, abrupt noise, or succession of noises, made by striking an object.
clang	A loud, ringing sound, like that made by metallic substances when clanged or struck together.
capot	A winning of all the tricks at the game of piquet. It counts for forty points.
moile	A kind of high shoe anciently worn.
crumb	A small fragment or piece; especially, a small piece of bread or other food, broken or cut off.
greet	Greeting.
smear	A fat, oily substance; oinment.
brere	A brier.
shola	See Sola.
condo	one of the units in a condominium.
otter	A corruption of Annotto.
paven	See Pavan.
thank	To express gratitude to (anyone) for a favor; to make acknowledgments to (anyone) for kindness bestowed; -- used also ironically for blame.
broma	Aliment; food.
hover	A cover; a shelter; a protection.
stufa	A jet of steam issuing from a fissure in the earth.
greed	An eager desire or longing; greediness; as, a greed of gain.
harns	The brains.
jemmy	A short crowbar. See Jimmy.
jehad	Same as jihad.
magic	A comprehensive name for all of the pretended arts which claim to produce effects by the assistance of supernatural beings, or departed spirits, or by a mastery of secret forces in nature attained by a study of occult science, including enchantment, conjuration, witchcraft, sorcery, necromancy, incantation, etc.
trust	To place confidence in; to rely on, to confide, or repose faith, in; as, we can not trust those who have deceived us.
ungka	The siamang; -- called also ungka ape.
glyph	A sunken channel or groove, usually vertical. See Triglyph.
knuff	A lout; a clown.
picts	A race of people of uncertain origin, who inhabited Scotland in early times.
scurf	Thin dry scales or scabs upon the body; especially, thin scales exfoliated from the cuticle, particularly of the scalp; dandruff.
aloes	a purgative made from the leaves of aloe.  Same as aloe{3}.
erica	A genus of shrubby plants, including the heaths, many of them producing beautiful flowers.
axman	One who wields an ax.
forel	A kind of parchment for book covers. See Forrill.
helve	The handle of an ax, hatchet, or adze.
pasan	The gemsbok.
rover	One who practices robbery on the seas; a pirate.
snarl	The act of snarling; a growl; a surly or peevish expression; an angry contention.
bohea	Bohea tea, an inferior kind of black tea. See under Tea.
cutis	See Dermis.
denay	Denial; refusal.
stair	One step of a series for ascending or descending to a different level; -- commonly applied to those within a building.
tawny	Of a dull yellowish brown color, like things tanned, or persons who are sunburnt; as, tawny Moor or Spaniard; the tawny lion.
stell	A prop; a support, as for the feet in standing or cilmbing.
apoda	A group of worms without appendages, as the leech.
baldy	a person who has a bald head; -- a deprecatory term.
eblis	The prince of the evil spirits; Satan.
helot	A slave in ancient Sparta; a Spartan serf; hence, a slave or serf.
skene	See Skean.
stage	A floor or story of a house.
steam	The elastic, aeriform fluid into which water is converted when heated to the boiling point; water in the state of vapor; gaseous water.
